번호,제목,본문내용,국가,지역
1,[그리스] ICAP,"□ 사이트 개요 ○ 사이트 유형: 기업정보 DB 제공 ○그리스를 기반으로 1964년 설립되어 그리스 현지 기업 DB와 재무정보를 제공- 2012년부터는 불가리아, 세르비아, 루마니아어 기업 DB 제공 서비스를 시작하여 발칸지역에서 가장 큰 기업 DB를 보유 ○언어: 영어, 그리스어□ 제공 정보 ○4개국의 수입업체, 수출업체 및 제조업체 정보, 재무정보, 종업원 수, 설립년도, 취급 품목, 수입 및 수출입 국가 정보 현황을 제공* 유무료 회원별 이용 가능 정보 차별 제공",그리스,유럽
2,[뉴질랜드] Companies office,"□ 사이트 개요 ○사이트 유형: 기업검색사이트 ○뉴질랜드 정부 기업혁신고용부내의 기업등기소 사이트로 뉴질랜드 내에 등록된 모든 기업에 대한 정보를 확인할 수 있음. ○언어: 영어 □ 제공 정보 ○뉴질랜드 내 등록된 기업정보(기업명, 대표자, 등록일자, 지분관계, 재무제표(공개의무를 가지고 있는 기업에 한함) 등) https://companies-register.companiesoffice.govt.nz/",뉴질랜드,대양주
3,[뉴질랜드] Finda,"□ 사이트 개요 ○사이트 유형: 기업검색사이트o뉴질랜드를 기반으로 1989년에 설립된 기업정보 제공업체. ○언어: 영어□ 제공 정보o뉴질랜드내 기업정보(기업명, 연락처, 위치, 취급품목 등)* 기업검색은 무료서비스",뉴질랜드,대양주
4,[뉴질랜드] Yellow Page,"□ 사이트 개요 ○사이트 유형: 기업검색사이트 ○ 1988년에 설립된 뉴질랜드를 기반으로 하는 전화번호 제공 서비스업체. 전화번호부 제작부터 기업검색사이트까지 다양한 서비스 제공 ○ 언어: 영어 □ 제공 정보 ○ 뉴질랜드내 기업정보(기업명, 연락처, 위치 등)* 기업검색은 무료서비스",뉴질랜드,대양주
5,[뉴질랜드] Zip Leaf,"□ 사이트 개요 ○사이트 유형: 기업검색사이트 ○2008년 캐나다 IT 기업인 Netcode Inc 자본으로 설립된 기업정보 사이트 ○언어: 영어□ 제공 정보o호주, 뉴질랜드, 캐나다, 미국을 비롯한 15개국의 기업정보(기업명, 연락처, 위치, 취급품목 등)* 기업검색은 무료서비스",뉴질랜드,대양주
6,[대만] Business Express,"□ 사이트 개요 ○사이트 유형: 기업검색사이트o 언어: 영어, 중국어(번체자/간체자)□ 제공 정보 ○대만 내 수입업체, 수출업체 및 제조업체 관련 정보(주소, 전화번호, 이메일, 직원수, 자본금, 경영자, 제품 정보 등 )  https://business.com.tw/",대만,아시아
7,[대만] Trade Asia,"□ 사이트 개요 ○사이트 유형: B2B e-마켓플레이스 ○운영회사: AsianNet Inc.는 1995년 미국 일리노이주를 기반으로 설립됐으며 아시아 태평양 지역 서비스 센터는 1996년 대만에 설립o 70만 이상의 회원과 100만개 이상의 상품을 게재하고 있는 세계 5대 무역 포털 온라인 B2B 마켓플레이스 ○언어: 영어, 중국어(번체자, 간체자)□ 제공 정보o 글로벌 업체 관련 정보와 특정 상품에 대한 구매 또는 판매를 희망하는 업체 정보 제공* 유무료 회원별 이용 가능 정보 차별 제공 https://www.etradeasia.com/",대만,아시아
8,[도미니카공화국] Paginas Amarillas,"□ 사이트 개요 ○사이트 유형 : 기업 검색 사이트 -Caribe Media에서 운영하는 기업 디렉토리 전문사이트로, 키워드/상호/업종/지역 등을 입력하여 기업정보 조회 가능o연혁 : 1965년부터 서비스 개시 ○언어 : 스페인어 □ 검색 방법 ○검색창에 확인하고자 하는 키워드(업종, 제품, 상호 등) 입력 후 조회 - Que busca? : 키워드, 업종, 상호 등 입력 -Donde? : 관심지역 입력□ 제공 정보o입력 키워드와 연관된 비즈니스, 개인 정보 목록 - 목록에서 특정 결과물(상호, 개인 등)선택시 전화번호, 주소, 홈페이지, 지도등검색 대상에 대한 정보 제공 ○기업/장소 이용후기 등 사용자 평가 입력 및 조회 가능",도미니카공화국,중남미
9,[독일] Wer Liefert Was,"□ 사이트 개요 ○사이트 유형: 기업검색사이트 ○기본 정보 및 연혁- 소재지: 독일 함부르크(Hamburg)- 현재 총 고용인원수(스위스, 오스트리아 포함): 200명- 1930년 라이프치히 전시회에서 최초로 Wer liefert was(누가 무엇을 공급하나) 서적으로 발간- 2000년도 까지 연 1회 참고용 서적으로 발간- 1988년 오스트리아 Wer liefert was, 1990년 스위스 Wer liefert was 설립- 1995년 온라인 검색사이트 www.wlw.de 개설 및 서비스 개시 ○개요- 연간 방문자 수 2,400만 명- Wer liefert was를 통해 매월 130만 명의 잠재 구매자가 WLW에 등록되어 있는 57만 개사 기업 검색 및 서비스 이용o 언어: 독일어, 영어, 프랑스어 (홈페이지 상단 영문 선택 기능)□ 제공 정보o 로그인 없이 무료로 기본 정보 조회 가능 ○ 제품 및 서비스를 공급하는 독일, 스위스, 오스트리아 내 제조기업, 대규모 유통기업(Wholesaler), 디스트리뷰터(Distributor), 서비스 기업 관련 기본 정보 및 최초 접촉 담당자 정보 제공-담당자명, 주소, 홈페이지, 전화번호, 팩스번호, 종업원수, 주요 공급 제품 및 서비스, 경우에 따라 간단한 기업 소개 등 ○ 동 사이트는 기본적으로 각종 제품 및 서비스를 제공하는 기업의 B2B 온라인 홍보 사이트이나, 독일 내 기업 검색 무료 사이트 부재로 가장 널리 활용되고 있음. https://www.wlw.ch/en",독일,유럽
10,[독일] KoMPASS,"□ 사이트 개요 ○사이트 유형: 기업검색사이트 ○ 기본 정보 및 연혁- 소재지: 독일 프라이부르크(Freiburg)- 현재 총 고용인원수: 약 30명- 설립연도: 2009년(독일)- Kompass는 세계적인 기업 검색 사이트이며 독일에 설립된 것은 지사임.- 독일기업을 중점적으로 검색할 수 있도록 함.o 개요- 30개 이상의 검색엔진 필터 장치 존재- 약 26만개의 독일 기업과 450만개의 세계적 기업에 대한 정보 검색 가능- 검색, 저장, 수정 기능 탑재 ○언어: 독일어, 영어(홈페이지 상단 영문 선택 기능) □ 제공 정보 ○로그인 없이 무료로 기본 정보 조회 가능 ○설립연도, 담당자명, 주소, 홈페이지, 전화번호, 팩스번호, 종업원수, 주요 공급 제품 및 서비스, 경우에 따라 간단한 기업 소개 등 ○그러나 기업경영진, 수출입, 매출, 재무제표, 거래업체 등에 대한 상세 정보는 유료로 사용 가능함. https://www.kompass.de/",독일,유럽
11,[독일] INDUSTRYSTOCK,"□ 사이트 개요 ○사이트 유형 : 기업검색사이트 o 기본 정보 및 연혁- 관리운영사 : Deutscher Medien Verlag GmbH- 소재지: 독일 코트부스(Cottbus)- 현재 총 고용인원수 : 10명- 설립연도 : 2003년(독일)- 본사가 독일에 있으며, 2013년도에 10주년 기념행사를 함.- 동 사가 10년동안 관리한 페이지는 industrystock, b2b-crossmedia, b2b-tradefair, b2b-contextAds 등 총 4개의 B2B 서비스 제공 홈페이지나, 가장 기본적으로 운영되는 홈페이지는 기업검색사이트인 industrystock임. ○개요- 16개 다국어 지원 기업 서칭 엔진 (한국어 제공)- 각 산업 분야의 독특한 제품 및 기업 정보를 소개하고 홈페이지 이용 업체가 정보를 교환할 수 있도록 함.- 수출을 목표로 하는 산업 및 무역 분야 기업에 제품 및 서비스 관련 정보를 제공하는 지능형 검색 엔진을 갖춘 산업 부문의 포탈 사이트임.- 구매결정권자는 관련 품목 및 서비스에 연관된 공급업체, 무역회사, 생산기업 및 서비스제공기업명 검색 가능- 연간 총 60개국, 1,600만명 이용- 전세계 150개 이상 국가의 92만 5천개의 기업이 21만개의 제품과 서비스를 제공- 연간 4400만회 조회 수 기록 ○언어 : 16개국어 (독일어, 영어, 프랑스어, 스페인어, 아랍어, 터키어, 중국어, 일본어 한국어, 이태리어, 러시아어 등/ 홈페이지 상단 해당언어 선택 기능)□ 제공 정보 ○로그인 없이 무료로 기본 정보 조회 가능o 설립연도, 담당자명, 주소, 홈페이지, 전화번호, 팩스번호, 종업원수, 주요 공급 제품 및 서비스, 경우에 따라 간단한 기업 소개 등 ○ 지난 24시간동안 인기 검색어 노출기능을 통한 기업인 최신 관심사 파악 가능  ○ 신규설립 및 등록기업 노출 기능  https://www.industrystock.com/en",독일,유럽
